"","...1","Division","Season","Spectators","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","pointsDiff","expPointsDiff","shotsDiff","shotsTargetDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"65",65,"D1",10,"Yes","19.10.2019","Augsburg","Bayern Munich",2,2,9,24,7,9,10,6,3,3,0,0,16.44,8.18,1.16,1.28,3.64,1,1,0.0581997860626699,0.116968763187077,0.824831450750253,0.291568121375087,2.59146311543784,0,0,-2.29989499406275,-15,-2,4,0,0,0
"66",66,"D1",10,"Yes","19.10.2019","Fortuna Dusseldorf","Mainz",1,0,20,7,4,1,10,17,2,4,0,1,2.57,3.55,2.65,1.66,2.22,3,0,0.371229011700176,0.268748890160409,0.360022098139416,1.38243592526094,1.34881518457866,1,3,0.0336207406822799,13,3,-7,-2,-1,0
"67",67,"D1",10,"Yes","19.10.2019","RB Leipzig","Wolfsburg",1,1,13,14,5,6,10,9,1,3,0,0,1.54,4.35,5.9,1.61,2.32,1,1,0.619179734620024,0.219203860072376,0.161616405307599,2.07674306393245,0.704053075995175,0,0,1.37268998793727,-1,-1,1,-2,0,0
"68",68,"D1",10,"Yes","19.10.2019","Union Berlin","Freiburg",2,0,18,12,5,4,21,13,3,0,0,0,2.58,3.45,2.69,1.85,1.97,3,0,0.369421655381602,0.276263150981024,0.354315193637373,1.38452811712583,1.33920873189314,2,3,0.0453193852326872,6,1,8,3,0,0
"69",69,"D1",10,"Yes","19.10.2019","Werder Bremen","Hertha",1,1,15,11,5,2,8,11,1,1,0,0,2.14,3.68,3.25,1.52,2.51,1,1,0.446431904203776,0.259609857335891,0.293958238460333,1.59890556994722,1.14148457271689,0,0,0.45742099723033,4,3,-3,0,0,0
"70",70,"D1",10,"Yes","19.10.2019","Dortmund","M'gladbach",1,0,20,13,7,3,13,15,1,2,0,0,1.47,4.83,6.25,1.37,3.07,3,0,0.649541367312819,0.197686503095206,0.152772129591975,2.14631060503366,0.656002891871131,1,3,1.49030771316253,7,4,-2,-1,0,0
"71",71,"D1",10,"Yes","20.10.2019","FC Koln","Paderborn",3,0,16,9,6,1,6,7,0,0,0,0,1.68,4.36,4.5,1.38,3.02,3,0,0.568616540307435,0.219099951311122,0.212283508381443,1.92494957223343,0.85595047645545,3,3,1.06899909577798,7,5,-1,0,0,0
"72",72,"D1",10,"Yes","20.10.2019","Hoffenheim","Schalke 04",2,0,9,11,3,1,12,14,2,2,0,0,2.69,3.52,2.55,1.71,2.15,3,0,0.354722319921911,0.271080409258505,0.374197270819584,1.33524736902424,1.39367222171726,2,3,-0.0584248526930207,-2,2,-2,0,0,0
"73",73,"D1",10,"Yes","25.10.2019","Mainz","FC Koln",3,1,18,16,6,8,20,9,2,2,0,0,2.55,3.54,2.7,1.58,2.39,3,0,0.375265017667845,0.270318021201413,0.354416961130742,1.39611307420495,1.33356890459364,2,3,0.0625441696113076,2,-2,11,0,0,0
"74",74,"D1",10,"Yes","26.10.2019","Bayern Munich","Union Berlin",2,1,21,6,10,4,9,15,0,1,0,0,1.11,10.24,20.85,1.2,4.43,3,0,0.860854976273507,0.0933153343421478,0.045829689384345,2.67588026316267,0.230804402495183,1,3,2.44507586066749,15,6,-6,-1,0,0
"75",75,"D1",10,"Yes","26.10.2019","Freiburg","RB Leipzig",2,1,14,25,3,6,10,9,3,1,0,0,3.96,3.74,1.9,1.63,2.27,3,0,0.241369003138544,0.255567179793753,0.503063817067703,0.979674189209386,1.76475863099686,1,3,-0.785084441787475,-11,-3,1,2,0,0
"76",76,"D1",10,"Yes","26.10.2019","Hertha","Hoffenheim",2,3,13,17,4,8,17,12,3,3,1,0,2.1,3.66,3.37,1.62,2.31,0,3,0.455183561401178,0.261170895885922,0.2836455427129,1.62672158008946,1.11210752402462,-1,-3,0.514614056064834,-4,-4,5,0,1,0
"77",77,"D1",10,"Yes","26.10.2019","Paderborn","Fortuna Dusseldorf",2,0,14,18,6,4,21,17,5,4,0,0,2.38,3.85,2.73,1.39,2.97,3,0,0.401610185358547,0.248268114585284,0.350121700056169,1.45309867066093,1.29863321475379,2,3,0.154465455907133,-4,2,4,1,0,0
"78",78,"D1",10,"Yes","26.10.2019","Schalke 04","Dortmund",0,0,13,8,3,3,8,7,3,2,0,0,3.07,3.51,2.29,1.69,2.18,1,1,0.311017300020508,0.272029376371213,0.416953323608279,1.20508127643274,1.52288934719605,0,0,-0.317808070763314,5,0,1,1,0,0
"79",79,"D1",10,"Yes","26.10.2019","Leverkusen","Werder Bremen",2,2,21,10,4,3,12,13,2,1,0,0,1.62,4.29,5.1,1.43,2.78,1,1,0.589876734931573,0.222750655148986,0.187372609919441,1.99238085994371,0.784868484907309,0,0,1.2075123750364,11,1,-1,1,0,0
"80",80,"D1",10,"Yes","27.10.2019","Wolfsburg","Augsburg",0,0,14,10,3,5,12,13,0,0,0,0,1.59,4.19,5.6,1.62,2.29,1,1,0.601177040284293,0.22813162149213,0.170691338223576,2.03166274234501,0.740205636162859,0,0,1.29145710618215,4,-2,-1,0,0,0
"81",81,"D1",10,"Yes","27.10.2019","M'gladbach","Ein Frankfurt",4,2,12,15,7,3,12,11,1,1,0,0,1.91,3.93,3.69,1.5,2.58,3,0,0.499096569027289,0.242563472478911,0.2583399584938,1.73985317956078,1.01758334796031,2,3,0.722269831600467,-3,4,1,0,0,0
"82",82,"D1",10,"Yes","01.11.2019","Hoffenheim","Paderborn",3,0,12,9,7,2,7,12,0,1,0,0,1.44,4.94,6.59,1.31,3.42,3,0,0.662246886557169,0.193043626850673,0.144709486592158,2.17978428652218,0.627172086627148,3,3,1.55261219989503,3,5,-5,-1,0,0
"83",83,"D1",10,"Yes","02.11.2019","Dortmund","Wolfsburg",3,0,17,12,8,3,12,18,1,3,0,0,1.53,4.25,6.31,1.64,2.28,3,0,0.624035760908264,0.224652873926975,0.151311365164761,2.09676015665177,0.678586969421259,3,3,1.41817318723051,5,5,-6,-2,0,0
"84",84,"D1",10,"Yes","02.11.2019","Ein Frankfurt","Bayern Munich",5,1,17,7,11,3,12,7,1,2,0,1,6.7,5.19,1.42,1.31,3.39,3,0,0.142668535410633,0.184177107370182,0.673154357219185,0.612182713602081,2.20364017902774,4,3,-1.59145746542566,10,8,5,-1,-1,0
"85",85,"D1",10,"Yes","02.11.2019","Leverkusen","M'gladbach",1,2,23,11,6,6,13,8,2,1,1,0,2,3.82,3.5,1.5,2.57,0,3,0.477329525169582,0.249910746162085,0.272759728668333,1.68189932167083,1.06818993216708,-1,-3,0.613709389503749,12,0,5,1,1,0
