"","Division","Season","Capacity","Spectators","Covid","Occupancy","Date","Home","Away","HG","AG","HS","AS","HST","AST","HF","AF","HY","AY","HR","AR","AvgH","AvgD","AvgA","Avg.2.5","Avg.2.5.1","HP","AP","ProbH","ProbD","ProbA","HEP","AEP","goalsDiff","shotsDiff","shotsTargetDiff","pointsDiff","expPointsDiff","foulsDiff","yellowDiff","redDiff","Season_c"
"67","E0",12,26047,22445,"No",0.861711521480401,"03/10/2021","Crystal Palace","Leicester",2,2,18,9,4,5,15,11,2,3,0,0,3.11,3.41,2.36,2.02,1.83,1,1,0.309614770528195,0.282375934411345,0.40800929506046,1.21122024599593,1.50640381959273,0,9,-1,0,-0.295183573596796,4,-1,0,0
"68","E0",12,62062,53076,"No",0.85520930682221,"03/10/2021","Tottenham","Aston Villa",2,1,17,14,8,3,11,14,2,1,0,0,2.12,3.53,3.5,1.89,1.95,3,0,0.453251450918242,0.272207670239851,0.274540878841907,1.63196202299458,1.09583030676557,1,3,5,3,0.536131716229006,-3,1,0,0
"69","E0",12,60000,49940,"No",0.832333333333333,"03/10/2021","West Ham","Brentford",1,2,18,13,5,6,16,13,2,3,0,0,1.82,3.62,4.67,1.92,1.92,0,3,0.52840603628271,0.265662703324456,0.205931260392833,1.85088081217259,0.883456484502957,-1,5,-1,-3,0.967424327669629,3,-1,0,0
"70","E0",12,54074,53102,"No",0.982024632910456,"03/10/2021","Liverpool","Man City",2,2,6,12,4,3,10,12,3,3,0,0,2.9,3.53,2.43,1.73,2.14,1,1,0.331680966982318,0.272485780240431,0.395833252777251,1.26752868118738,1.45998553857219,0,-6,1,0,-0.192456857384801,-2,0,0,0
"71","E0",12,21577,21085,"No",0.977197942253325,"16/10/2021","Watford","Liverpool",0,5,6,19,2,8,4,10,0,0,0,0,8.67,5.33,1.36,1.58,2.43,0,3,0.111090847510617,0.180704999609202,0.708204152880181,0.513977542141052,2.30531745824975,-5,-13,-6,-3,-1.79133991610869,-6,0,0,0
"72","E0",12,42682,41951,"No",0.982873342392578,"16/10/2021","Aston Villa","Wolves",2,3,14,9,5,4,8,17,2,3,0,0,2.25,3.28,3.42,2.12,1.76,0,3,0.42664475936195,0.292667898952557,0.280687341685493,1.57260217703841,1.13472992400904,-1,5,1,-3,0.43787225302937,-9,-1,0,0
"73","E0",12,32273,32219,"No",0.998326774703312,"16/10/2021","Leicester","Man United",4,2,22,18,11,6,5,17,0,3,0,0,3.49,3.59,2.1,1.77,2.11,3,0,0.275175109774392,0.26751006493388,0.457314825291728,1.09303539425706,1.63945454080906,2,4,5,3,-0.546419146552007,-12,-3,0,0
"74","E0",12,55017,52711,"No",0.958085682607194,"16/10/2021","Man City","Burnley",2,0,15,7,6,2,11,5,1,0,0,0,1.12,9.47,22.12,1.39,3.04,3,0,0.855504351107503,0.101178972887054,0.0433166760054432,2.66769202620956,0.231129000903384,2,8,4,3,2.43656302530618,6,1,0,0
"75","E0",12,27244,26777,"No",0.982858611070327,"16/10/2021","Norwich","Brighton",0,0,15,11,3,3,5,14,3,5,0,0,3.67,3.34,2.13,2.13,1.75,1,1,0.261656325512797,0.2875085971952,0.450835077292003,1.07247757373359,1.64001382907121,0,4,0,0,-0.567536255337617,-9,-2,0,0
"76","E0",12,32384,30506,"No",0.942008399209486,"16/10/2021","Southampton","Leeds",1,0,19,3,5,0,16,14,2,3,0,0,2.4,3.52,2.93,1.72,2.17,3,0,0.399851125860679,0.272625767632281,0.32752310650704,1.47217914521432,1.2551950871534,1,16,5,3,0.216984058060915,2,-1,0,0
