Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam
E0;1;39571;35934;26.02.2011;Everton;Sunderland
E0;1;52338;47718;26.02.2011;Newcastle;Bolton
E0;1;25133;16812;26.02.2011;Wigan;Man United
E0;1;32050;27696;26.02.2011;Wolves;Blackpool
E0;1;48000;45905;27.02.2011;Man City;Fulham
E0;1;35345;33404;27.02.2011;West Ham;Liverpool
E0;1;30089;26858;28.02.2011;Stoke;West Brom
E0;1;42000;41435;01.03.2011;Chelsea;Man United
E0;1;60704;60025;05.03.2011;Arsenal;Sunderland
E0;1;29409;25462;05.03.2011;Birmingham;West Brom
E0;1;28723;22870;05.03.2011;Bolton;Aston Villa
E0;1;25800;25043;05.03.2011;Fulham;Blackburn
E0;1;48000;45905;05.03.2011;Man City;Wigan
E0;1;52338;47718;05.03.2011;Newcastle;Everton
E0;1;35345;33404;05.03.2011;West Ham;Stoke
E0;1;45000;42820;06.03.2011;Liverpool;Man United
E0;1;32050;27696;06.03.2011;Wolves;Tottenham
E0;1;16220;15780;07.03.2011;Blackpool;Chelsea
E0;1;39571;35934;09.03.2011;Everton;Birmingham
E0;1;42682;37194;19.03.2011;Aston Villa;Wolves
E0;1;31367;25000;19.03.2011;Blackburn;Blackpool
E0;1;39571;35934;19.03.2011;Everton;Fulham
E0;1;75800;75109;19.03.2011;Man United;Bolton
E0;1;30089;26858;19.03.2011;Stoke;Newcastle
E0;1;36284;35704;19.03.2011;Tottenham;West Ham
E0;1;26850;24683;19.03.2011;West Brom;Arsenal
E0;1;25133;16812;19.03.2011;Wigan;Birmingham
E0;1;42000;41435;20.03.2011;Chelsea;Man City
E0;1;48707;40011;20.03.2011;Sunderland;Liverpool
E0;1;60704;60025;02.04.2011;Arsenal;Blackburn
E0;1;29409;25462;02.04.2011;Birmingham;Bolton
E0;1;39571;35934;02.04.2011;Everton;Aston Villa
E0;1;52338;47718;02.04.2011;Newcastle;Wolves
E0;1;30089;26858;02.04.2011;Stoke;Chelsea
E0;1;26850;24683;02.04.2011;West Brom;Liverpool
E0;1;35345;33404;02.04.2011;West Ham;Man United
E0;1;25133;16812;02.04.2011;Wigan;Tottenham
E0;1;25800;25043;03.04.2011;Fulham;Blackpool
E0;1;48000;45905;03.04.2011;Man City;Sunderland
E0;1;31367;25000;09.04.2011;Blackburn;Birmingham
E0;1;28723;22870;09.04.2011;Bolton;West Ham
E0;1;42000;41435;09.04.2011;Chelsea;Wigan
E0;1;75800;75109;09.04.2011;Man United;Fulham
E0;1;48707;40011;09.04.2011;Sunderland;West Brom
E0;1;36284;35704;09.04.2011;Tottenham;Stoke
E0;1;32050;27696;09.04.2011;Wolves;Everton
E0;1;42682;37194;10.04.2011;Aston Villa;Newcastle
E0;1;16220;15780;10.04.2011;Blackpool;Arsenal
E0;1;45000;42820;11.04.2011;Liverpool;Man City
E0;1;29409;25462;16.04.2011;Birmingham;Sunderland
E0;1;16220;15780;16.04.2011;Blackpool;Wigan
E0;1;39571;35934;16.04.2011;Everton;Blackburn
E0;1;26850;24683;16.04.2011;West Brom;Chelsea
E0;1;35345;33404;16.04.2011;West Ham;Aston Villa
E0;1;60704;60025;17.04.2011;Arsenal;Liverpool
E0;1;52338;47718;19.04.2011;Newcastle;Man United
E0;1;42000;41435;20.04.2011;Chelsea;Birmingham
E0;1;36284;35704;20.04.2011;Tottenham;Arsenal
E0;1;42682;37194;23.04.2011;Aston Villa;Stoke
E0;1;16220;15780;23.04.2011;Blackpool;Newcastle
E0;1;42000;41435;23.04.2011;Chelsea;West Ham
E0;1;45000;42820;23.04.2011;Liverpool;Birmingham
E0;1;75800;75109;23.04.2011;Man United;Everton
E0;1;48707;40011;23.04.2011;Sunderland;Wigan
E0;1;36284;35704;23.04.2011;Tottenham;West Brom
E0;1;32050;27696;23.04.2011;Wolves;Fulham
E0;1;28723;22870;24.04.2011;Bolton;Arsenal
