Div;Season;Capacity;Spectators;Date;HomeTeam;AwayTeam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;27.12.2011;Norwich;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;27.12.2011;Swansea;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;45000;44253;30.12.2011;Liverpool;Newcastle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;60704;60000;31.12.2011;Arsenal;QPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;28723;23670;31.12.2011;Bolton;Wolves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42000;41478;31.12.2011;Chelsea;Aston Villa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;75800;75387;31.12.2011;Man United;Blackburn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;27244;26606;31.12.2011;Norwich;Fulham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;30089;27226;31.12.2011;Stoke;Wigan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;21088;19946;31.12.2011;Swansea;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;48707;39095;01.01.2012;Sunderland;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;26850;24798;01.01.2012;West Brom;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E0;2;42682;33873;02.01.2012;Aston Villa;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
